nsentry16_2016_02_24__05h00m00s

Time (Date hh:mm:ss.ms)	 L-Max dB -A 	 LEQ dB -A 	 L-Min dB -A 	
2016/02/24 09:29:28.000	76.045398	75.145364	73.545283	
2016/02/24 09:29:29.000	76.345407	74.845351	72.645223	
2016/02/24 09:29:30.000	73.645289	72.745230	72.045175	
2016/02/24 09:29:31.000	74.845351	73.445277	71.745149	
2016/02/24 09:29:32.000	71.645139	69.044807	68.344678	
2016/02/24 09:29:33.000	68.444698	67.844572	67.344454	
2016/02/24 09:29:34.000	69.144824	68.544717	68.044616	
2016/02/24 09:29:35.000	69.744917	69.044807	68.244658	
2016/02/24 09:29:36.000	70.545023	69.544887	68.644736	
2016/02/24 09:29:37.000	72.745230	71.745149	70.445010	
2016/02/24 09:29:38.000	77.945450	76.045398	72.845237	
2016/02/24 09:29:39.000	89.845539	87.645535	78.245456	
2016/02/24 09:29:40.000	88.945537	81.745505	75.445376	
2016/02/24 09:29:41.000	75.245368	72.745230	71.245100	
2016/02/24 09:29:42.000	71.545130	69.844931	69.044807	
2016/02/24 09:29:43.000	69.244840	68.044616	66.844321	
2016/02/24 09:29:44.000	67.344454	66.544233	65.944039	
2016/02/24 09:29:45.000	67.844572	66.344171	65.443855	
2016/02/24 09:29:46.000	66.644263	66.044073	65.543893	
2016/02/24 09:29:47.000	66.144106	65.743968	65.443855	
2016/02/24 09:29:48.000	65.743968	64.843604	63.642987	
2016/02/24 09:29:49.000	63.642987	62.242013	61.441299	
2016/02/24 09:29:50.000	61.441299	59.739263	58.637450	
2016/02/24 09:29:51.000	59.138331	58.637450	58.136462	
2016/02/24 09:29:52.000	58.336871	58.036250	57.434871	
2016/02/24 09:29:53.000	58.437068	57.535114	56.833287	
2016/02/24 09:29:54.000	60.440199	58.837815	57.134107	
2016/02/24 09:29:55.000	66.844321	64.143265	60.540320	
2016/02/24 09:29:56.000	71.345110	69.744917	66.944349	
2016/02/24 09:29:57.000	76.245404	74.745346	71.345110	
2016/02/24 09:29:58.000	75.345372	71.945167	69.044807	
2016/02/24 09:29:59.000	69.344856	67.944595	67.044376	
2016/02/24 09:30:00.000	74.345327	71.945167	67.744550	
2016/02/24 09:30:01.000	80.645494	79.145473	74.745346	
2016/02/24 09:30:02.000	76.945425	72.945244	71.245100	
2016/02/24 09:30:03.000	80.845496	79.345476	74.545337	
2016/02/24 09:30:04.000	78.745466	72.345200	68.444698	
2016/02/24 09:30:05.000	68.844772	66.744292	65.443855	
2016/02/24 09:30:06.000	65.343816	63.242740	62.542249	
2016/02/24 09:30:07.000	64.543466	62.141931	61.341200	
2016/02/24 09:30:08.000	63.542927	62.942539	61.341200	
2016/02/24 09:30:09.000	64.543466	64.143265	63.242740	
2016/02/24 09:30:10.000	66.844321	65.743968	64.243317	
2016/02/24 09:30:11.000	69.044807	68.344678	66.644263	
2016/02/24 09:30:12.000	69.944945	68.744754	67.744550	
2016/02/24 09:30:13.000	67.744550	65.043692	64.143265	
2016/02/24 09:30:14.000	64.243317	63.642987	63.142675	
2016/02/24 09:30:15.000	66.044073	64.943649	63.242740	
2016/02/24 09:30:16.000	70.645035	68.944790	66.444203	
2016/02/24 09:30:17.000	73.945306	72.545215	70.545023	
2016/02/24 09:30:18.000	77.045428	75.645383	73.745295	
2016/02/24 09:30:19.000	80.345490	79.245474	76.745420	
2016/02/24 09:30:20.000	78.845468	77.045428	76.545414	
2016/02/24 09:30:21.000	79.945485	78.345458	76.445411	
2016/02/24 09:30:22.000	77.545441	75.145364	74.445332	
2016/02/24 09:30:23.000	76.945425	75.845391	74.545337	
2016/02/24 09:30:24.000	75.445376	74.145317	73.145258	
2016/02/24 09:30:25.000	79.845483	78.045452	75.445376	
